wavelength [um],"Bulb Spectra, No background"
0.383972,1863.2
0.384008,1845.2
0.384044,1873.2
0.38408,1877.6
0.384115,1880.8
0.384151,1869.2
0.384187,1846.4
0.384223,1870.8
0.384259,1908.8
0.384294,1852.4
0.38433,1898
0.384366,1869.2
0.384402,1862
0.384438,1909.6
0.384473,1867.2
0.384509,1886.8
0.384545,1867.2
0.384581,1866.4
0.384616,1885.6
0.384652,1914.4
0.384688,1915.2
0.384724,1900.4
0.38476,1924.8
0.384795,1888.4
0.384831,1926.8
0.384867,1901.6
0.384903,1907.2
0.384939,1917.6
0.384974,1940.4
0.38501,1915.6
0.385046,1929.6
0.385082,1894.8
0.385117,1933.2
0.385153,1945.2
0.385189,1923.6
0.385225,1927.2
0.385261,1916.4
0.385296,1928
0.385332,1889.6
0.385368,1905.2
0.385404,1908.8
0.385439,1954
