wavelength [nm],intensity,std of intensity,Backgroundless I,eV,True Spectrum,,I/2,True Spec / 2,,2I,2 True Spec
334.615,1558.6666666666667,24.458581770458856,495.4666666666667,3.705751385921133,185.86463898979937,,247.73333333333335,92.93231949489969,,990.9333333333334,371.72927797959875
334.651,1569.3333333333333,5.2493385826745405,522.9333333333332,3.7053527406163433,195.9713711501078,,261.4666666666666,97.9856855750539,,1045.8666666666663,391.9427423002156
334.688,1574.6666666666667,10.873004286866726,523.4666666666667,3.704943111196099,195.96897634022392,,261.73333333333335,97.98448817011196,,1046.9333333333334,391.93795268044784
334.724,1570.0,14.966629547095765,513.5999999999999,3.704544639762909,192.0823777432057,,256.79999999999995,96.04118887160286,,1027.1999999999998,384.1647554864114
334.76,1551.3333333333333,16.519348924485158,500.1333333333332,3.70414625403274,186.85840761481936,,250.0666666666666,93.42920380740968,,1000.2666666666664,373.7168152296387
334.797,1503.3333333333333,7.71722460186015,453.33333333333326,3.7037368913102564,169.19863423439222,,226.66666666666663,84.59931711719611,,906.6666666666665,338.39726846878443
334.833,1526.6666666666667,5.734883511361751,481.06666666666683,3.7033386792819103,179.36968295617882,,240.53333333333342,89.68484147808941,,962.1333333333337,358.73936591235764
334.869,1550.0,4.320493798938574,494.4000000000001,3.702940552872914,184.15644871294893,,247.20000000000005,92.07822435647446,,988.8000000000002,368.31289742589786
334.906,1547.3333333333333,8.219218670625303,497.73333333333335,3.7025314565878187,185.20722385959226,,248.86666666666667,92.60361192979613,,995.4666666666667,370.4144477191845
334.942,1553.3333333333333,4.109609335312651,508.93333333333317,3.70213350371109,189.1851427018107,,254.46666666666658,94.59257135090535,,1017.8666666666663,378.3702854036214
334.978,1545.3333333333333,15.86050300449376,494.1333333333332,3.7017356363701497,183.49969022531636,,247.0666666666666,91.74984511265818,,988.2666666666664,366.9993804506327
335.015,1526.6666666666667,12.256517540566824,482.26666666666665,3.7013268062624065,178.90872652123016,,241.13333333333333,89.45436326061508,,964.5333333333333,357.81745304246033
335.051,1520.6666666666667,9.843215373488933,472.66666666666674,3.7009291122843986,175.17194374016862,,236.33333333333337,87.58597187008431,,945.3333333333335,350.34388748033723
335.087,1499.3333333333333,15.4344492037203,455.33333333333326,3.7005315037587256,168.57937129423073,,227.66666666666663,84.28968564711536,,910.6666666666665,337.15874258846145
335.124,1499.3333333333333,17.913371790059205,454.93333333333317,3.700122939568637,168.2581882112974,,227.46666666666658,84.1290941056487,,909.8666666666663,336.5163764225948
335.16,1535.3333333333333,23.113247764479624,477.33333333333326,3.699725504236782,176.36640592182744,,238.66666666666663,88.18320296091372,,954.6666666666665,352.7328118436549
335.196,1526.6666666666667,13.888444437333106,474.66666666666674,3.699328154273917,175.2058516077692,,237.33333333333337,87.6029258038846,,949.3333333333335,350.4117032155384
335.232,1508.0,9.93310961716756,461.5999999999999,3.698930889652539,170.21254351428223,,230.79999999999995,85.10627175714112,,923.1999999999998,340.42508702856446
335.269,1488.6666666666667,16.679994670929073,434.26666666666665,3.698522678804184,159.96914006589267,,217.13333333333333,79.98457003294634,,868.5333333333333,319.93828013178535
335.305,1498.0,11.430952132988164,451.20000000000005,3.698125587151996,166.04084499340087,,225.60000000000002,83.02042249670043,,902.4000000000001,332.08168998680173
